x,y
-0.4540800,-0.3694700
0.0028200,0.3112200
0.2490200,-0.2240100
0.2657000,-0.0812300
0.2521500,-0.0991600
0.1671400,-0.0844000
0.3120200,-0.3415400
-0.4184500,-0.4661300
0.2126800,-0.2878800
0.2732100,-0.1998200
-0.4412700,-0.4350900
0.2952900,0.0291000
0.0517300,0.4686400
0.2343300,-0.1777900
0.2594000,-0.0794700
0.4400000,-0.1920700
0.2778900,-0.1146500
0.3437700,0.0275500
0.0669600,0.3475100
0.2846000,-0.1233900
0.3379400,-0.0354000
-0.3948900,-0.4475600
0.3705300,-0.0573800
0.2453800,-0.1324900
0.3551800,-0.1062900
0.2656000,-0.1377400
0.3280600,-0.0104200
-0.0235700,0.4520100
-0.3647500,-0.4756500
0.3321000,0.0932800
0.2805300,-0.1113100
0.0136000,0.3936400
0.1715100,-0.2410700
0.2104200,-0.2271100
0.0792500,0.3303000
0.0579400,0.3943800
0.2660000,-0.0039700
-0.4462000,-0.4405000
0.2677400,-0.2092200
-0.0475700,0.4472500
0.2834700,-0.1029000
0.2714100,-0.1516200
-0.4055000,-0.4327900
0.2522600,-0.1832100
0.3051700,-0.1343800
0.3230900,-0.2310100
0.1894200,-0.2485900
-0.4493200,-0.4641700
-0.5022000,-0.4117000
-0.4205500,-0.4683000
-0.4810700,-0.4119200
0.0064000,0.4316800
0.3014000,-0.2278500
-0.0653100,0.4246400
0.2849500,-0.1427600
-0.1108500,0.4554700
0.2923200,-0.1885200
-0.0935900,0.3301900
0.2245900,-0.1487000
-0.0663700,0.2929000
0.3034300,-0.2010600
-0.4770800,-0.4385500
0.3637300,-0.0887100
0.3734900,-0.1606300
-0.3814700,-0.4184900
0.2874300,-0.1316500
0.1959500,-0.2068400
-0.3996500,-0.4405400
0.3146800,-0.2336900
-0.3775100,-0.4147100
0.2471800,-0.2530300
-0.4331500,-0.4848900
0.0258200,0.2984900
0.2420900,-0.2081100
0.3072400,-0.2039000
0.2089200,-0.2198800
0.1400300,-0.0836100
0.2331400,-0.0862900
0.4144500,-0.0113400
-0.3878000,-0.4092300
0.3672400,-0.1981800
0.2451800,-0.1164800
-0.0506100,0.3035800
0.3093000,-0.1001600
0.3397800,-0.1187900
0.0459600,0.3235900
-0.4629200,-0.4539900
0.3069100,-0.1878600
-0.1338100,0.3535800
0.2514300,-0.2087300
0.3363800,-0.1626100
0.2526000,-0.1531700
0.0042300,0.3248700
0.3464400,-0.0341100
0.0836000,0.3074500
0.3261100,-0.2156700
-0.0409300,0.3494800
0.3042800,-0.0959800
0.3835700,-0.2133200
0.0363500,0.2827400
-0.1331400,0.3599200
0.1558100,-0.3224700
0.1972200,-0.1140900
-0.4443600,-0.4173700
0.0005800,0.3534400
0.3706700,-0.1429700
0.3979600,-0.1046500
-0.0761600,0.4038400
-0.4869100,-0.4671900
0.2644100,-0.1887800
-0.4242200,-0.4286800
0.3777100,-0.1633800
0.1472100,-0.0353200
0.2004900,-0.0917200
0.2686800,-0.1674900
0.0674500,0.3186600
0.3154900,-0.2396100
0.0275400,0.3097700
-0.4057200,-0.4197600
0.2179000,-0.2023400
0.3288800,-0.1865000
0.0526400,0.3421900
0.3159100,-0.1972500
-0.3958900,-0.4351100
0.2210900,-0.1797300
-0.4559400,-0.4976000
-0.0084500,0.3343000
0.3305000,-0.1884800
-0.0289000,0.3823600
0.2493800,-0.1964700
0.3507300,-0.0760000
0.2041300,-0.1338400
0.1580000,-0.1599900
-0.4331200,-0.3289900
0.4002300,-0.2337200
-0.4327500,-0.4469700
-0.4304100,-0.4342800
-0.4793600,-0.4339000
0.2757500,-0.1381300
0.3853500,-0.1478400
0.3248700,-0.0671400
-0.4131200,-0.4448700
0.1648500,-0.1999700
0.3118600,-0.1646000
0.3172600,-0.2784300
0.3094500,-0.1891700
0.3612400,-0.2108600
0.0156900,0.3280200
0.2523100,-0.1478300
0.3149700,-0.2646100
0.2054000,-0.1107400
0.0063700,0.3552200
-0.4574600,-0.4351700
0.3050100,-0.1367000
0.3060400,-0.0540200
-0.0447500,0.2700900
0.2497700,-0.1889000
-0.4271900,-0.3860100
0.3277100,-0.1925100
0.3487500,-0.1291800
0.2708400,-0.1132200
-0.4304900,-0.4361400
0.3005300,-0.1815600
0.2682700,-0.2335300
0.1431700,-0.0626400
0.2869700,-0.2168700
-0.4160600,-0.4615600
0.1847700,-0.0757800
0.3395300,-0.0849800
-0.4859200,-0.4414100
0.2317000,-0.0809400
0.3180100,-0.1521000
-0.0783000,0.3274100
0.2544300,-0.0919600
-0.0986900,0.4240200
0.0313300,0.3381700
0.2652100,-0.2136400
-0.4586700,-0.4549300
0.2088600,-0.1471800
0.0822500,0.3372500
0.3362800,-0.0329300
0.3527800,-0.1586600
0.3554000,-0.1118100
0.3502100,-0.0231800
0.2081300,-0.2400600
0.3316800,-0.1928500
-0.0894100,0.1899600
0.3547000,-0.0828700
-0.3802700,-0.4462900
